Афганистан,Afghanistan
Южна Грузия и Южните сандвич острови,SouthGeorgiaAndTheSouthSandwichIslands
Южна Корея,SouthKorea
Южен Судан,SouthSudan
Испания,Spain
Шри Ланка,SriLanka
Судан,Sudan
Суринам,Suriname
Свалбард,Svalbard
Есватини,Swaziland
Швеция,Sweden
Швейцария,Switzerland
Сирия,Syria
Тайван,Taiwan
Таджикистан,Tajikistan
Танзания,Tanzania
Тайланд,Thailand
Того,Togo
Токелау,Tokelau
Тонга,Tonga
Тринидад и Тобаго,TrinidadTobago
Тунис,Tunisia
Турция,Turkey
Туркменистан,Turkmenistan
Острови Търкс и Кайкос,TurksCaicosIslands
Тувалу,Tuvalu
Уганда,Uganda
Украйна,Ukraine
Обединени арабски емирства,UnitedArabEmirates
Обединено кралство,UnitedKingdom
САЩ,United_States
Малки далечни острови на Съединените Американски Щати,UnitedStatesMinorOutlyingIslands
Американски Вирджински острови,UnitedStatesVirginIslands
Уругвай,Uruguay
Узбекистан,Uzbekistan
Вануату,Vanuatu
Ватикан,VaticanCity
Венецуела,Venezuela
Виетнам,Vietnam
Острови Уолис и Футуна,WallisFutuna
Западен бряг,WestBank
Западна Сахара,WesternSahara
Йемен,Yemen
Замбия,Zambia
Зимбабве,Zimbabwe
